HLT,Sequence,Stream Name,Seed
HLT_AK8PFHT900_TrimMass50_v11,8,DQM,L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p4 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_CaloJet500_NoJetID_v12,9,PhysicsHadronsTaus,L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_CaloJet500_NoJetID_v12,9,DQM,L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_CaloJet550_NoJetID_v7,10,PhysicsHadronsTaus,L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_CaloJet550_NoJetID_v7,10,DQM,L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v4,11,PhysicsMuons,L1_DoubleMu5Upsilon_OS_DoubleEG3
HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v4,11,DQM,L1_DoubleMu5Upsilon_OS_DoubleEG3
HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v4,12,DQM,L1_DoubleMu3_OS_DoubleEG7p5Upsilon
HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v4,12,PhysicsMuons,L1_DoubleMu3_OS_DoubleEG7p5Upsilon
HLT_Trimuon5_3p5_2_Upsilon_Muon_v5,13,DQM,L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17 OR L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17
HLT_Trimuon5_3p5_2_Upsilon_Muon_v5,13,PhysicsMuons,L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17 OR L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17
HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v3,14,DQM,L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v3,14,PhysicsMuons,L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9
HLT_DoubleEle25_CaloIdL_MW_v4,15,DQM,L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_DoubleEle25_CaloIdL_MW_v4,15,PhysicsEGamma,L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_DoubleEle27_CaloIdL_MW_v4,16,PhysicsEGamma,L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_DoubleEle27_CaloIdL_MW_v4,16,DQM,L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_DoubleEle33_CaloIdL_MW_v17,17,PhysicsEGamma,L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_DoubleEle33_CaloIdL_MW_v17,17,DQM,L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_DoubleEle24_eta2p1_WPTight_Gsf_v7,18,null,L1_DoubleLooseIsoEG22er2p1 OR L1_DoubleLooseIsoEG24er2p1
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_DZ_PFHT350_v20,19,PhysicsEGamma,L1_DoubleEG8er2p5_HTT260er OR L1_DoubleEG8er2p5_HTT300er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p4 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_DZ_PFHT350_v20,19,DQM,L1_DoubleEG8er2p5_HTT260er OR L1_DoubleEG8er2p5_HTT300er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p4 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350_v20,20,PhysicsEGamma,L1_DoubleEG8er2p5_HTT260er OR L1_DoubleEG8er2p5_HTT300er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p4 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350_v20,20,DQM,L1_DoubleEG8er2p5_HTT260er OR L1_DoubleEG8er2p5_HTT300er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p4 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er
HLT_Ele27_Ele37_CaloIdL_MW_v4,21,DQM,L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_Ele27_Ele37_CaloIdL_MW_v4,21,PhysicsEGamma,L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_Mu27_Ele37_CaloIdL_MW_v5,22,DQM,L1_SingleMu25
HLT_Mu27_Ele37_CaloIdL_MW_v5,22,PhysicsMuons,L1_SingleMu25
HLT_Mu37_Ele27_CaloIdL_MW_v5,23,PhysicsMuons,L1_SingleMu25
HLT_Mu37_Ele27_CaloIdL_MW_v5,23,DQM,L1_SingleMu25
HLT_Mu37_TkMu27_v5,24,PhysicsMuons,L1_SingleMu22 OR L1_SingleMu25
HLT_Mu37_TkMu27_v5,24,DQM,L1_SingleMu22 OR L1_SingleMu25
HLT_DoubleMu4_3_Bs_v14,25,DQM,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
HLT_DoubleMu4_3_Bs_v14,25,PhysicsMuons,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
HLT_DoubleMu4_3_Jpsi_v2,26,DQM,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
HLT_DoubleMu4_3_Jpsi_v2,26,PhysicsMuons,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4
HLT_DoubleMu4_JpsiTrk_Displaced_v15,27,PhysicsMuons,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu4_JpsiTrk_Displaced_v15,27,DQM,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v15,28,DQM,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v15,28,PhysicsMuons,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu3_Trk_Tau3mu_v12,29,DQM,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu3_Trk_Tau3mu_v12,29,PhysicsMuons,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu3_TkMu_DsTau3Mu_v4,30,PhysicsMuons,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu3_TkMu_DsTau3Mu_v4,30,DQM,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,31,DQM,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,31,PhysicsMuons,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu4_Mass3p8_DZ_PFHT350_v8,32,DQM,L1_DoubleMu3_SQ_HTT220er
HLT_DoubleMu4_Mass3p8_DZ_PFHT350_v8,32,PhysicsMuons,L1_DoubleMu3_SQ_HTT220er
HLT_Mu3_PFJet40_v16,33,DQM,L1_SingleMu3 OR L1_Mu3_Jet30er2p5
HLT_Mu3_PFJet40_v16,33,PhysicsMuons,L1_SingleMu3 OR L1_Mu3_Jet30er2p5
HLT_Mu7p5_L2Mu2_Jpsi_v10,34,DQM,L1_DoubleMu0_SQ
HLT_Mu7p5_L2Mu2_Jpsi_v10,34,PhysicsMuons,L1_DoubleMu0_SQ
HLT_Mu7p5_L2Mu2_Upsilon_v10,35,DQM,L1_DoubleMu0_SQ
HLT_Mu7p5_L2Mu2_Upsilon_v10,35,PhysicsMuons,L1_DoubleMu0_SQ
HLT_Mu7p5_Track2_Jpsi_v11,36,PhysicsMuons,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track2_Jpsi_v11,36,DQM,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track3p5_Jpsi_v11,37,PhysicsMuons,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track3p5_Jpsi_v11,37,DQM,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track7_Jpsi_v11,38,DQM,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track7_Jpsi_v11,38,PhysicsMuons,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track2_Upsilon_v11,39,DQM,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track2_Upsilon_v11,39,PhysicsMuons,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track3p5_Upsilon_v11,40,DQM,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track3p5_Upsilon_v11,40,PhysicsMuons,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track7_Upsilon_v11,41,PhysicsMuons,L1_SingleMu5 OR L1_SingleMu7
HLT_Mu7p5_Track7_Upsilon_v11,41,DQM,L1_SingleMu5 OR L1_SingleMu7
HLT_DoublePhoton33_CaloIdL_v6,42,PhysicsEGamma,L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_DoublePhoton33_CaloIdL_v6,42,DQM,L1_SingleEG26er2p5 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_DoublePhoton70_v6,43,DQM,L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_DoublePhoton70_v6,43,PhysicsEGamma,L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_DoublePhoton85_v14,44,DQM,L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_DoublePhoton85_v14,44,DQMEventDisplay,L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_DoublePhoton85_v14,44,PhysicsEGamma,L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1
HLT_Ele20_WPTight_Gsf_v6,45,PhysicsEGamma,L1_SingleEG10er2p5 OR L1_SingleEG15er2p5
HLT_Ele20_WPTight_Gsf_v6,45,DQM,L1_SingleEG10er2p5 OR L1_SingleEG15er2p5
HLT_Ele15_WPLoose_Gsf_v3,46,DQM,L1_SingleEG10er2p5 OR L1_SingleEG15er2p5
HLT_Ele15_WPLoose_Gsf_v3,46,PhysicsEGamma,L1_SingleEG10er2p5 OR L1_SingleEG15er2p5
HLT_Ele17_WPLoose_Gsf_v3,47,DQM,L1_SingleEG10er2p5 OR L1_SingleEG15er2p5
HLT_Ele17_WPLoose_Gsf_v3,47,PhysicsEGamma,L1_SingleEG10er2p5 OR L1_SingleEG15er2p5
HLT_Ele20_WPLoose_Gsf_v6,48,PhysicsEGamma,L1_SingleEG10er2p5 OR L1_SingleEG15er2p5
HLT_Ele20_WPLoose_Gsf_v6,48,DQM,L1_SingleEG10er2p5 OR L1_SingleEG15er2p5
HLT_Ele20_eta2p1_WPLoose_Gsf_v6,49,PhysicsEGamma,L1_SingleEG10er2p5 OR L1_SingleEG15er2p5
HLT_Ele20_eta2p1_WPLoose_Gsf_v6,49,DQM,L1_SingleEG10er2p5 OR L1_SingleEG15er2p5
HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v4,50,PhysicsEGamma,L1_SingleEG26er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG26er2p5 OR L1_SingleIsoEG28er2p5 OR L1_SingleIsoEG30er2p5 OR L1_SingleIsoEG32er2p5 OR L1_SingleIsoEG34er2p5 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5
HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v4,50,DQM,L1_SingleEG26er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG26er2p5 OR L1_SingleIsoEG28er2p5 OR L1_SingleIsoEG30er2p5 OR L1_SingleIsoEG32er2p5 OR L1_SingleIsoEG34er2p5 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5
HLT_Ele27_WPTight_Gsf_v16,51,PhysicsEGamma,L1_SingleEG26er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG26er2p5 OR L1_SingleIsoEG28er2p5 OR L1_SingleIsoEG30er2p5 OR L1_SingleIsoEG32er2p5 OR L1_SingleIsoEG34er2p5
HLT_Ele27_WPTight_Gsf_v16,51,DQM,L1_SingleEG26er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG50 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG26er2p5 OR L1_SingleIsoEG28er2p5 OR L1_SingleIsoEG30er2p5 OR L1_SingleIsoEG32er2p5 OR L1_SingleIsoEG34er2p5
